,name,url,price,rating,nReviews
35,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag  ,https://amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-32,₹843,3.7 out of 5 stars,828
36,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-33,₹497,4.3 out of 5 stars,"12,761"
37,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment  ",https://amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-34,₹849,4.3 out of 5 stars,"5,209"
38,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)  ",https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-35,₹849,3.9 out of 5 stars,849
39,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)  ",https://amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-36,₹849,4.0 out of 5 stars,600
40,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L  ,https://amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-35,₹569,4.0 out of 5 stars,314
41,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag  ,https://amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-36,₹834,4.0 out of 5 stars,"5,572"
42,ADISA Light Weight Laptop Backpack 32 Ltrs  ,https://amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-37,₹499,4.0 out of 5 stars,"5,860"
43,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty  ",https://amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-38,₹549,3.9 out of 5 stars,"8,837"
44,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue  ",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-39,₹425,4.3 out of 5 stars,"12,761"
45,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls  ,https://amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-40,₹899,4.0 out of 5 stars,"11,073"
46,ADISA Laptop Backpack 31 Ltrs  ,https://amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-41,₹499,4.0 out of 5 stars,"9,284"
47,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack  ,https://amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-42,₹395,3.7 out of 5 stars,655
