,Name,url,price,rating,nReviews,ASIN,Manufacturer,description
10,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-33,₹497,4.3 out of 5 stars,"12,761", B07PLKV6D1 ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ', ' Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ', ' Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ', ' Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ', ' Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ']"
11,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue  ",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-39,₹425,4.3 out of 5 stars,"12,761", B07K8KLB3P ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ', ' Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ', ' Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ', ' Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ', ' Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ']"
12,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)  ",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-49,₹398,4.1 out of 5 stars,"8,997", B088XH1BP7 ,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka ","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']"
13,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-51,₹398,4.1 out of 5 stars,"8,997", B088XB5XY8 ,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka ","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']"
14,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit  ,https://amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-53,₹409,4.2 out of 5 stars,"3,290", B071KNXQ7Y ,Freewill Sports Private Limited ,"[' Highly water-resistant finish to save inner items from water splashes  ', ' Adjustable shoulder strap  ', ' Top grab handle  ', ' Optimum quality of accessories and zipper for smoother functioning and high durability  ', ' Durable zippers and enhanced by strong stitching at major stress points provide long-lasting durability against daily activities  ']"
15,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel  ,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-58,₹269,4.0 out of 5 stars,"3,447", B07FWQ9HRV ,Freewill Sports Private Limited ,"[' Strong stitching at major stress points provide long-lasting durability against daily activities  ', ' Adjustable shoulder strap  ', ' Main large compartment with double zip closure  ', ' High quality double zippers, easy to access  ', ' Highly water-resistant finish to save inner items from water splashes  ']"
16,Kore Regular Gym Bag  ,https://amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-62,₹59,2.6 out of 5 stars,"1,741", B09VLK27NF ,Kushal Rubber Industries ,"[' This lightweight gym bag will stylishly carry your workout clothes and other essentials from your home to gym sport  ', ' This is the perfect value bag intended use for athletic, gym, travel, camping, hiking, weekend and carry on or overnight as it is spacious as well as functional  ', "" With a perfect combination of style and durability, you just can't go wrong with this bag  ""]"
17,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty  ,https://amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1685079940&sprefix=ba%2Caps%2C283&sr=8-74,₹499,4.0 out of 5 stars,"5,741", B09321GJXZ ,"Texcoco Enterprices, Texcoco Enterprices, 9958166528 ","[' PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.  ', ' LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.  ', ' EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.  ', ' DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.  ', "" BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.  ""]"
18,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag  ,https://amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1685079940&sprefix=ba%2Caps%2C283&sr=8-79,₹369,4.2 out of 5 stars,"7,546", B07222KX3S ,Freewill Sports Private Limited ,"[' Strong stitching at major stress points provide long-lasting durability against daily activities  ', ' Main compartment with zip closure  ', "" Lightweight and fold-able, It's easy to fold up into small compact space.  "", ' Can be folded and inserted in the inner pocket with double sided runner  ', ' Optimum quality of accessories and zipper for smoother functioning and high durability  ']"
19,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black)  ,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1685079940&sprefix=ba%2Caps%2C283&sr=8-82,₹497,4.3 out of 5 stars,"12,761", B07NJRPJ6Q ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ","[' Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex  ', ' Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps  ', ' Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks  ', ' Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket  ', ' Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry  ']"
